"","CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE","address","LAT","LON"
"282",31412162,"1/25/2016 7:40:38 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 105543","7427 HARDY ST, Sacramento, CA",95662,"7427 HARDY ST, Sacramento, CA, 95662",38.700669,-121.238013
"283",31412194,"1/25/2016 8:15:26 AM","","Open","311 Service Request","Transportation","Other","Transportation - Other","1230 G ST, Sacramento, CA",95673,"1230 G ST, Sacramento, CA, 95673",38.680015,-121.437794
"284",31412235,"1/25/2016 8:50:06 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","8336 AUBERRY DR, Sacramento, CA",95828,"8336 AUBERRY DR, Sacramento, CA, 95828",38.460133,-121.399009
"285",31412264,"1/25/2016 9:01:22 AM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 105556","4512 MARBLE WAY, Sacramento, CA",95608,"4512 MARBLE WAY, Sacramento, CA, 95608",38.64437,-121.321814
"286",31412303,"1/25/2016 9:23:40 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","3600 KARL DR, Sacramento, CA",95660,"3600 KARL DR, Sacramento, CA, 95660",38.673838,-121.38289
"287",31412399,"1/25/2016 10:17:11 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","7243 LARCHMONT DR, Sacramento, CA",95660,"7243 LARCHMONT DR, Sacramento, CA, 95660",38.699543,-121.376567
"288",31412471,"1/25/2016 11:02:21 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7613 WOODGLEN DR, Sacramento, CA",95628,"7613 WOODGLEN DR, Sacramento, CA, 95628",38.643437,-121.268207
"289",31412730,"1/25/2016 1:30:31 PM","","Open","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","7314 ELSIE AVE, Sacramento, CA",95823,"7314 ELSIE AVE, Sacramento, CA, 95823",38.474339,-121.418969
"290",31412792,"1/25/2016 2:01:17 PM","","Open","Open311","Remote Device","Street lighting","Street lighting - 105617","8660 HILLMON CT, Sacramento, CA",95828,"8660 HILLMON CT, Sacramento, CA, 95828",38.492244,-121.384421
"291",31412855,"1/25/2016 2:41:24 PM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 105628","6509 WESLEY AVE, Sacramento, CA",95823,"6509 WESLEY AVE, Sacramento, CA, 95823",38.507659,-121.460963
"292",31412860,"1/25/2016 2:45:20 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","7742 ROBINETTE RD, Sacramento, CA",95828,"7742 ROBINETTE RD, Sacramento, CA, 95828",38.476955,-121.410527
"293",31412940,"1/25/2016 3:33:12 PM","","Open","311 Service Request","Transportation","Encroachment Violation","Encroachment Violation","3401 HUMBOLDT WAY, Sacramento, CA",95864,"3401 HUMBOLDT WAY, Sacramento, CA, 95864",38.585377,-121.386012
"294",31412976,"1/25/2016 3:51:19 PM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 105652","7609 WOODGLEN DR, Sacramento, CA",95628,"7609 WOODGLEN DR, Sacramento, CA, 95628",38.643437,-121.268207
"295",31413027,"1/25/2016 4:22:56 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","3605 STEAM CT, Sacramento, CA",95827,"3605 STEAM CT, Sacramento, CA, 95827",38.553521,-121.34099
"296",31413129,"1/25/2016 6:25:13 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","5545 MARCONI AVE,Unit 214, Sacramento, CA",95608,"5545 MARCONI AVE,Unit 214, Sacramento, CA, 95608",38.617217,-121.333555
"297",31413146,"1/25/2016 6:50:35 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 105680","5642 TUMBRIDGE WAY, Sacramento, CA",95608,"5642 TUMBRIDGE WAY, Sacramento, CA, 95608",38.603058,-121.332818
"298",31413398,"1/26/2016 9:51:28 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","2401 GWEN DR, Sacramento, CA",95825,"2401 GWEN DR, Sacramento, CA, 95825",38.608173,-121.404657
"299",31413464,"1/26/2016 10:32:44 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","1100 WAYLAND AVE, Sacramento, CA",95825,"1100 WAYLAND AVE, Sacramento, CA, 95825",38.585567,-121.407734
"300",31413569,"1/26/2016 11:31:22 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 105803","8372 VINTAGE PARK DR, Sacramento, CA",95828,"8372 VINTAGE PARK DR, Sacramento, CA, 95828",38.454442,-121.378167
"301",31413583,"1/26/2016 11:40:35 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 105806","8292 BEDFORD COVE WAY, Sacramento, CA",95828,"8292 BEDFORD COVE WAY, Sacramento, CA, 95828",38.457517,-121.380623
"302",31413791,"1/26/2016 1:31:27 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","5000 TAMARISK CT, Sacramento, CA",95842,"5000 TAMARISK CT, Sacramento, CA, 95842",38.683121,-121.3472
"303",31413812,"1/26/2016 1:43:22 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 105828","4915 ANDREA BLVD, Sacramento, CA",95842,"4915 ANDREA BLVD, Sacramento, CA, 95842",38.68721,-121.350569
"304",31414060,"1/26/2016 3:53:47 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4741 39TH AVE, Sacramento, CA",95824,"4741 39TH AVE, Sacramento, CA, 95824",38.517376,-121.451517
"305",31414165,"1/26/2016 5:41:17 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","4506 MERGANSER CT, Sacramento, CA",95842,"4506 MERGANSER CT, Sacramento, CA, 95842",38.693153,-121.359322
"306",31414206,"1/26/2016 9:04:53 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","1720 I ST, Sacramento, CA",95673,"1720 I ST, Sacramento, CA, 95673",38.683503,-121.426139
"307",31414278,"1/27/2016 8:20:00 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","2223 MARCONI AVE, Sacramento, CA",95821,"2223 MARCONI AVE, Sacramento, CA, 95821",38.618195,-121.415061
"308",31414287,"1/27/2016 8:28:49 AM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","3367 LERWICK RD, Sacramento, CA",95821,"3367 LERWICK RD, Sacramento, CA, 95821",38.633803,-121.386517
"310",31414346,"1/27/2016 9:11:55 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3100 HOWE AVE,Unit 4C, Sacramento, CA",95821,"3100 HOWE AVE,Unit 4C, Sacramento, CA, 95821",38.621715,-121.415279
"312",31414430,"1/27/2016 10:06:32 AM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","5620 WATT AVE, Sacramento, CA",95660,"5620 WATT AVE, Sacramento, CA, 95660",38.668884,-121.382802
"313",31414509,"1/27/2016 10:53:59 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","8121 MADISON AVE, Sacramento, CA",95628,"8121 MADISON AVE, Sacramento, CA, 95628",38.643381,-121.264111
"314",31414519,"1/27/2016 10:59:58 AM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","4900 ROSEVILLE RD, Sacramento, CA",95660,"4900 ROSEVILLE RD, Sacramento, CA, 95660",38.655069,-121.386993
"315",31414521,"1/27/2016 11:01:11 AM","","Open","311 Service Request","Transportation","Graffiti Private Property","Graffiti Private Property","4900 ROSEVILLE RD, Sacramento, CA",95660,"4900 ROSEVILLE RD, Sacramento, CA, 95660",38.655069,-121.386993
"316",31414527,"1/27/2016 11:05:32 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","6456 LARRY WAY, Sacramento, CA",95660,"6456 LARRY WAY, Sacramento, CA, 95660",38.684111,-121.37783
"317",31414535,"1/27/2016 11:09:58 AM","","Open","311 Service Request","Animal Care","Stray Animals","Stray Animal","7405 WINDING WAY, Sacramento, CA",95628,"7405 WINDING WAY, Sacramento, CA, 95628",38.643437,-121.268207
"318",31414780,"1/27/2016 1:56:53 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","5628 CYPRESS AVE, Sacramento, CA",95608,"5628 CYPRESS AVE, Sacramento, CA, 95608",38.638852,-121.332763
"319",31414801,"1/27/2016 2:02:49 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","5925 RAMPART DR, Sacramento, CA",95608,"5925 RAMPART DR, Sacramento, CA, 95608",38.647887,-121.325082
"320",31414816,"1/27/2016 2:15:52 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5720 HILLSDALE BLVD, Sacramento, CA",95842,"5720 HILLSDALE BLVD, Sacramento, CA, 95842",38.670136,-121.360548
"321",31414820,"1/27/2016 2:21:25 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","8526 NEW STAR CIR, Sacramento, CA",95828,"8526 NEW STAR CIR, Sacramento, CA, 95828",38.453865,-121.388067
"322",31414831,"1/27/2016 2:31:23 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 106039","5105 VISTA SIERRA DR, Sacramento, CA",95843,"5105 VISTA SIERRA DR, Sacramento, CA, 95843",38.519878,-121.465096
"323",31414882,"1/27/2016 3:11:34 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","4300 MASON LN, Sacramento, CA",95821,"4300 MASON LN, Sacramento, CA, 95821",38.642774,-121.348866
"324",31414896,"1/27/2016 3:21:21 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 106049","10770 STOCKTON BLVD, Sacramento, CA",95757,"10770 STOCKTON BLVD, Sacramento, CA, 95757",38.3649,-121.351361
"325",31414968,"1/27/2016 4:37:45 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","2105 JUANITA LN, Sacramento, CA",95825,"2105 JUANITA LN, Sacramento, CA, 95825",38.603562,-121.408894
"326",31415055,"1/27/2016 8:30:40 PM","","Open","Open311","Remote Device","Street lighting","Street lighting - 106085","8242 LONELY HILL WAY, Sacramento, CA",95843,"8242 LONELY HILL WAY, Sacramento, CA, 95843",38.719687,-121.369453
"327",31415058,"1/27/2016 9:11:40 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","9219 LUCCHESI DR, Sacramento, CA",95829,"9219 LUCCHESI DR, Sacramento, CA, 95829",38.456375,-121.356918
"328",31415060,"1/27/2016 9:34:01 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","3664 VAN OWEN ST, Sacramento, CA",95660,"3664 VAN OWEN ST, Sacramento, CA, 95660",38.686372,-121.379543
"329",31415115,"1/28/2016 8:19:10 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","7401 POWER INN RD,Unit 235, Sacramento, CA",95828,"7401 POWER INN RD,Unit 235, Sacramento, CA, 95828",38.472674,-121.405177
"330",31415123,"1/28/2016 8:26:26 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","9509 FOLSOM BLVD, Sacramento, CA",95827,"9509 FOLSOM BLVD, Sacramento, CA, 95827",38.568354,-121.344641
"331",31415139,"1/28/2016 8:36:33 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","7401 POWER INN RD, Sacramento, CA",95828,"7401 POWER INN RD, Sacramento, CA, 95828",38.489391,-121.408799
"332",31415232,"1/28/2016 9:51:53 AM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","8705 CRYSTAL RIVER WAY, Sacramento, CA",95828,"8705 CRYSTAL RIVER WAY, Sacramento, CA, 95828",38.475572,-121.381159
"333",31415432,"1/28/2016 12:23:38 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","8223 BLUEHAVEN CT, Sacramento, CA",95843,"8223 BLUEHAVEN CT, Sacramento, CA, 95843",38.719102,-121.378176
"334",31415612,"1/28/2016 2:44:43 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","3600 KARL DR, Sacramento, CA",95660,"3600 KARL DR, Sacramento, CA, 95660",38.673838,-121.38289
"335",31415660,"1/28/2016 3:30:35 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 106196","2721 EL CAMINO AVE, Sacramento, CA",95821,"2721 EL CAMINO AVE, Sacramento, CA, 95821",38.61054,-121.398497
"336",31415694,"1/28/2016 3:50:33 PM","","Open","311 Service Request","Transportation","Graffiti Private Property","Graffiti Private Property","9286 GREENBACK LN, Sacramento, CA",95662,"9286 GREENBACK LN, Sacramento, CA, 95662",38.678121,-121.208001
"340",31415888,"1/28/2016 9:29:16 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","8428 WINDFORD WAY, Sacramento, CA",95843,"8428 WINDFORD WAY, Sacramento, CA, 95843",38.722739,-121.34279
"341",31415913,"1/29/2016 6:55:37 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 106263","2101 MADERA RD, Sacramento, CA",95825,"2101 MADERA RD, Sacramento, CA, 95825",38.603474,-121.406394
"342",31415995,"1/29/2016 9:01:20 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 106303","2821 HOWE AVE, Sacramento, CA",95821,"2821 HOWE AVE, Sacramento, CA, 95821",38.616925,-121.415359
"343",31416083,"1/29/2016 10:14:22 AM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","8901 MONTOYA ST, Sacramento, CA",95826,"8901 MONTOYA ST, Sacramento, CA, 95826",38.559247,-121.371288
"344",31416222,"1/29/2016 11:50:39 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 106330","2875 FULTON AVE, Sacramento, CA",95821,"2875 FULTON AVE, Sacramento, CA, 95821",38.617535,-121.401489
"345",31416240,"1/29/2016 12:01:58 PM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","4624 SHAFTESBURY CT, Sacramento, CA",95608,"4624 SHAFTESBURY CT, Sacramento, CA, 95608",38.648272,-121.337293
"346",31416330,"1/29/2016 1:08:35 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7413 MIRAGE CT, Sacramento, CA",95842,"7413 MIRAGE CT, Sacramento, CA, 95842",38.700248,-121.353573
"347",31416335,"1/29/2016 1:12:38 PM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","6633 W 6TH ST, Sacramento, CA",95673,"6633 W 6TH ST, Sacramento, CA, 95673",38.686256,-121.475291
"349",31416484,"1/29/2016 3:12:34 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5401 GARFIELD AVE,Unit 74, Sacramento, CA",95841,"5401 GARFIELD AVE,Unit 74, Sacramento, CA, 95841",38.663957,-121.336694
"350",31416628,"1/29/2016 6:24:02 PM","","Open","311 Service Request","Animal Care","Owned Animals","Owned Animal","6900 AIRPORT BLVD, Sacramento, CA",95837,"6900 AIRPORT BLVD, Sacramento, CA, 95837",38.688645,-121.594111
"351",31416673,"1/30/2016 3:51:05 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4661 ORANGE GROVE AVE, Sacramento, CA",95841,"4661 ORANGE GROVE AVE, Sacramento, CA, 95841",38.648854,-121.356422
"352",31416674,"1/30/2016 4:10:28 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","5928 20TH ST, Sacramento, CA",95673,"5928 20TH ST, Sacramento, CA, 95673",38.674967,-121.419801
"353",31416694,"1/30/2016 9:41:06 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","6524 CHANNING DR, Sacramento, CA",95660,"6524 CHANNING DR, Sacramento, CA, 95660",38.685767,-121.379865
"354",31416700,"1/30/2016 10:20:50 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7944 ORANGE AVE, Sacramento, CA",95628,"7944 ORANGE AVE, Sacramento, CA, 95628",38.647532,-121.271627
"355",31416762,"1/30/2016 3:30:40 PM","","Open","Open311","Remote Device","Other","Other - 106511","4810 MARY KATE DR, Sacramento, CA",95841,"4810 MARY KATE DR, Sacramento, CA, 95841",38.666601,-121.352626
"356",31416785,"1/30/2016 5:08:09 PM","","Open","311 Service Request","Transportation","Other","Transportation - Other","3808 BAIRNSDALE WAY, Sacramento, CA",95826,"3808 BAIRNSDALE WAY, Sacramento, CA, 95826",38.542711,-121.370735
"357",31416808,"1/30/2016 6:51:55 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","6438 6TH ST, Sacramento, CA",95673,"6438 6TH ST, Sacramento, CA, 95673",38.684251,-121.452175
"358",31416826,"1/30/2016 10:32:05 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5900 WALERGA RD,Unit 2, Sacramento, CA",95842,"5900 WALERGA RD,Unit 2, Sacramento, CA, 95842",38.673099,-121.357205
"359",31416865,"1/31/2016 11:12:35 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","2206 LANDON LN, Sacramento, CA",95825,"2206 LANDON LN, Sacramento, CA, 95825",38.605408,-121.395522
"360",31416866,"1/31/2016 11:15:17 AM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","2206 LANDON LN, Sacramento, CA",95825,"2206 LANDON LN, Sacramento, CA, 95825",38.605408,-121.395522
"361",31416878,"1/31/2016 12:33:50 PM","","Open","311 Service Request","Code - Zoning","Private Property - Animals","Private Property - Animal","6943 SPRIG DR, Sacramento, CA",95842,"6943 SPRIG DR, Sacramento, CA, 95842",38.693992,-121.357363
"364",31416935,"1/31/2016 5:01:24 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 106655","6038 W 6TH ST, Sacramento, CA",95673,"6038 W 6TH ST, Sacramento, CA, 95673",38.678098,-121.475303
"365",31416942,"1/31/2016 5:16:43 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","7006 CHANDLER DR, Sacramento, CA",95828,"7006 CHANDLER DR, Sacramento, CA, 95828",38.498862,-121.423253
"366",31416976,"1/31/2016 8:48:36 PM","","Open","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","8016 STEVENSON AVE, Sacramento, CA",95828,"8016 STEVENSON AVE, Sacramento, CA, 95828",38.465333,-121.410662
"368",31417166,"2/1/2016 9:21:23 AM","","Open","Open311","Remote Device","Other","Other - 106730","9440 BAR DU LN, Sacramento, CA",95829,"9440 BAR DU LN, Sacramento, CA, 95829",38.471208,-121.341902
"369",31417174,"2/1/2016 9:25:58 AM","","Open","311 Service Request","Transportation","Encroachment Violation","Encroachment Violation","4092 ANDEDON CIR, Sacramento, CA",95826,"4092 ANDEDON CIR, Sacramento, CA, 95826",38.544408,-121.351844
"370",31417188,"2/1/2016 9:33:07 AM","","Open","311 Service Request","Transportation","Other","Transportation - Other","3914 POUNDS AVE, Sacramento, CA",95821,"3914 POUNDS AVE, Sacramento, CA, 95821",38.62706,-121.373103
"371",31417232,"2/1/2016 10:00:38 AM","","Open","Open311","Remote Device","Other","Other - 106736","5601 NONA WAY, Sacramento, CA",95824,"5601 NONA WAY, Sacramento, CA, 95824",38.524916,-121.454364
"372",31417303,"2/1/2016 10:40:40 AM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 106750","6155 39TH ST, Sacramento, CA",95824,"6155 39TH ST, Sacramento, CA, 95824",38.514525,-121.462679
"373",31417383,"2/1/2016 11:28:07 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","7410 SAN NITA WAY, Sacramento, CA",95628,"7410 SAN NITA WAY, Sacramento, CA, 95628",38.643437,-121.268207
"374",31417433,"2/1/2016 12:03:47 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","5151 MYRTLE AVE,Unit 4, Sacramento, CA",95841,"5151 MYRTLE AVE,Unit 4, Sacramento, CA, 95841",38.653667,-121.345193
"375",31417441,"2/1/2016 12:10:28 PM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 106768","4105 JUSTIN WAY, Sacramento, CA",95826,"4105 JUSTIN WAY, Sacramento, CA, 95826",38.543895,-121.349822
"376",31417442,"2/1/2016 12:11:19 PM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 106769","4108 JUSTIN WAY, Sacramento, CA",95826,"4108 JUSTIN WAY, Sacramento, CA, 95826",38.543609,-121.349976
"377",31417615,"2/1/2016 2:11:16 PM","","Open","Open311","Remote Device","Tree","Tree - 106775","7070 STOCKTON BLVD, Sacramento, CA",95823,"7070 STOCKTON BLVD, Sacramento, CA, 95823",38.498505,-121.43034
"378",31417617,"2/1/2016 2:12:24 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5515 KEONCREST CIR,Unit 4, Sacramento, CA",95841,"5515 KEONCREST CIR,Unit 4, Sacramento, CA, 95841",38.671429,-121.335658
"379",31417631,"2/1/2016 2:25:55 PM","","Open","311 Service Request","Transportation","Median Right of Way Landscape Complaints","Median Right of Way Landscape Complaints","801 WATT AVE, Sacramento, CA",95864,"801 WATT AVE, Sacramento, CA, 95864",38.57861,-121.382925
"380",31417635,"2/1/2016 2:30:35 PM","","Open","Open311","Remote Device","Road traffic sign","Road traffic sign - 106780","5925 RAMPART DR,Unit 1, Sacramento, CA",95608,"5925 RAMPART DR,Unit 1, Sacramento, CA, 95608",38.647887,-121.325082
"381",31417647,"2/1/2016 2:38:42 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","4451 WOODSON AVE, Sacramento, CA",95821,"4451 WOODSON AVE, Sacramento, CA, 95821",38.629432,-121.36019
"382",31417667,"2/1/2016 2:54:43 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3401 BALMORAL DR,Unit 13, Sacramento, CA",95821,"3401 BALMORAL DR,Unit 13, Sacramento, CA, 95821",38.611564,-121.385459
"383",31417680,"2/1/2016 3:05:16 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3040 HOWE AVE,Unit 35, Sacramento, CA",95821,"3040 HOWE AVE,Unit 35, Sacramento, CA, 95821",38.620537,-121.415203
"384",31417689,"2/1/2016 3:10:33 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 106804","7444 LA MANCHA WAY, Sacramento, CA",95823,"7444 LA MANCHA WAY, Sacramento, CA, 95823",38.487087,-121.437347
"385",31417701,"2/1/2016 3:20:46 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","6125 LEOLA WAY, Sacramento, CA",95824,"6125 LEOLA WAY, Sacramento, CA, 95824",38.51473,-121.451827
"386",31417703,"2/1/2016 3:21:18 PM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 106806","6400 EVEREST WAY, Sacramento, CA",95842,"6400 EVEREST WAY, Sacramento, CA, 95842",38.68183,-121.344243
"387",31417705,"2/1/2016 3:23:44 PM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","8646 CRYSTAL RIVER WAY, Sacramento, CA",95828,"8646 CRYSTAL RIVER WAY, Sacramento, CA, 95828",38.475426,-121.382704
"388",31417790,"2/1/2016 4:30:34 PM","","Open","Open311","Remote Device","Other","Other - 106830","8062 FLORIN RD, Sacramento, CA",95828,"8062 FLORIN RD, Sacramento, CA, 95828",38.495964,-121.410219
"389",31417856,"2/1/2016 5:45:40 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","4700 14TH AVE, Sacramento, CA",95820,"4700 14TH AVE, Sacramento, CA, 95820",38.539432,-121.451456
"390",31417949,"2/1/2016 10:16:34 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7748 WACHTEL WAY, Sacramento, CA",95662,"7748 WACHTEL WAY, Sacramento, CA, 95662",38.707424,-121.244208
"391",31417959,"2/1/2016 10:29:22 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","8625 CALVINE RD, Sacramento, CA",95828,"8625 CALVINE RD, Sacramento, CA, 95828",38.452651,-121.384468
"392",31417989,"2/2/2016 7:51:58 AM","","Open","311 Service Request","Transportation","Graffiti Private Property","Graffiti Private Property","6620 MADISON AVE, Sacramento, CA",95608,"6620 MADISON AVE, Sacramento, CA, 95608",38.663416,-121.310165
"393",31418007,"2/2/2016 8:07:43 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7690 FLORENCIA LN, Sacramento, CA",95829,"7690 FLORENCIA LN, Sacramento, CA, 95829",38.478957,-121.362713
"394",31418013,"2/2/2016 8:10:00 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7700 FLORENCIA LN, Sacramento, CA",95829,"7700 FLORENCIA LN, Sacramento, CA, 95829",38.478624,-121.362711
"395",31418016,"2/2/2016 8:11:12 AM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","4204 42ND AVE, Sacramento, CA",95824,"4204 42ND AVE, Sacramento, CA, 95824",38.515091,-121.458169
"396",31418021,"2/2/2016 8:16:43 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7692 FLORENCIA LN, Sacramento, CA",95829,"7692 FLORENCIA LN, Sacramento, CA, 95829",38.47889,-121.362713
"398",31418158,"2/2/2016 9:52:11 AM","","Open","311 Service Request","Environmental - Compliance","Hazardous Substances","Hazardous Substance","649 W ELKHORN BLVD, Sacramento, CA",95673,"649 W ELKHORN BLVD, Sacramento, CA, 95673",38.682049,-121.454109
"399",31418243,"2/2/2016 10:51:34 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","2020 DELMA WAY, Sacramento, CA",95825,"2020 DELMA WAY, Sacramento, CA, 95825",38.608347,-121.419462
"400",31418354,"2/2/2016 11:40:26 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","2645 EL CAMINO AVE, Sacramento, CA",95821,"2645 EL CAMINO AVE, Sacramento, CA, 95821",38.610716,-121.401012
"401",31418411,"2/2/2016 12:09:58 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","2838 SWEET WAY, Sacramento, CA",95821,"2838 SWEET WAY, Sacramento, CA, 95821",38.611911,-121.397406
"402",31418453,"2/2/2016 12:38:19 PM","","Open","311 Service Request","Transportation","Median Right of Way Landscape Complaints","Median Right of Way Landscape Complaints","8060 SUNSET AVE, Sacramento, CA",95628,"8060 SUNSET AVE, Sacramento, CA, 95628",38.652778,-121.265791
