"CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE"
"31406902","1/16/2016 9:08:37 AM","1/19/2016 11:14:12 AM","Closed","311 Service Request","Water Resources","Stormwater Incoming Email","Stormwater Incoming Email","6305 VISTA AVE, 95824","95824"
"31406905","1/16/2016 10:12:25 AM","1/20/2016 1:21:53 PM","Closed","311 Service Request","Transportation","Traffic Sign Complaints","Traffic Sign Complaints","7731 EL VERANO AVE, 95626","95626"
"31406907","1/16/2016 10:25:49 AM","1/16/2016 12:30:17 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","8934 SUNSET AVE, 95628","95628"
"31406909","1/16/2016 10:40:43 AM","1/20/2016 12:24:49 PM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 104042","6445 FAIR OAKS BLVD, 95608","95608"
"31406910","1/16/2016 10:51:21 AM","1/22/2016 11:28:06 AM","Closed","Open311","Remote Device","Code violation","Zoning violations - 104046","9025 NAPA VALLEY WAY, 95829","95829"
"31406912","1/16/2016 11:00:37 AM","2/8/2016 1:28:44 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104049","4255 PENNSYLVANIA AVE, 95628","95628"
"31406913","1/16/2016 11:00:37 AM","1/21/2016 2:16:48 PM","Closed","Open311","Remote Device","Other","Other - 104048","7925 GRIFFIN LN, 95628","95628"
"31406915","1/16/2016 11:10:35 AM","","Open","Open311","Remote Device","Other","Other - 104052","9200 BLUE OAK DR, 95662","95662"
"31406916","1/16/2016 11:17:00 AM","1/16/2016 12:30:02 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","2710 SIERRA BLVD, 95864","95864"
"31406918","1/16/2016 11:21:35 AM","2/7/2016 12:39:56 PM","Closed","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","6309 BELVA WAY, 95660","95660"
"31406919","1/16/2016 11:27:11 AM","1/19/2016 7:55:08 AM","Closed","311 Service Request","Water Resources","Incoming Email","","501 PAVILIONS LN, 95825","95825"
"31406920","1/16/2016 11:29:42 AM","1/19/2016 8:09:24 AM","Closed","311 Service Request","Water Resources","Incoming Email","","9751 FOREST VIEW CT,ELK GROVE,CA 95757","95757"
"31406921","1/16/2016 11:30:32 AM","1/27/2016 8:20:58 AM","Closed","Open311","Remote Device","Pothole","Pothole - 104055","11441 GOLD COUNTRY BLVD, 95670","95670"
"31406922","1/16/2016 11:34:24 AM","1/20/2016 4:30:04 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","5405 ROCKWELL RD, 95660","95660"
"31406923","1/16/2016 11:40:22 AM","2/2/2016 11:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","4900 THOR WAY, 95608","95608"
"31406926","1/16/2016 11:41:15 AM","1/17/2016 12:30:08 AM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","7905 WATERMAN RD, 95829","95829"
"31406928","1/16/2016 11:44:20 AM","1/16/2016 1:30:11 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","2604 GUNN RD, 95608","95608"
"31406929","1/16/2016 11:51:28 AM","1/16/2016 2:30:01 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","6721 2ND ST, 95673","95673"
"31406934","1/16/2016 11:57:37 AM","1/21/2016 7:14:37 AM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","INTERSECTION of WATT AVE and HURLEY WAY, 95864","95864"
"31406935","1/16/2016 11:58:08 AM","1/17/2016 5:30:08 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of CANBERRA DR and BAIRNSDALE WAY, 95826","95826"
"31406936","1/16/2016 11:59:02 AM","1/17/2016 5:30:12 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","2356 COTTAGE WAY, 95825","95825"
"31406937","1/16/2016 11:59:57 AM","1/16/2016 2:30:11 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","6650 BIRNAM ST, 95673","95673"
"31406938","1/16/2016 12:00:57 PM","1/16/2016 1:30:17 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","10740 BIRCH RANCH DR, 95830","95830"
"31406941","1/16/2016 12:21:22 PM","1/27/2016 8:21:24 AM","Closed","Open311","Remote Device","Pothole","Pothole - 104057","5271 SUNRISE BLVD, 95628","95628"
"31406943","1/16/2016 12:32:43 PM","2/1/2016 9:30:01 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","6754 52ND ST, 95823","95823"
"31406944","1/16/2016 12:40:38 PM","2/8/2016 1:29:29 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104058","10030 FAIR OAKS BLVD, 95628","95628"
"31406949","1/16/2016 1:10:51 PM","1/22/2016 11:28:38 AM","Closed","Open311","Remote Device","Code violation","Zoning violations - 104061","7453 DIAMOND RANCH DR, 95829","95829"
"31406954","1/16/2016 1:30:55 PM","","Open","Open311","Remote Device","Other","Other - 104063","2000 WATT AVE, 95825","95825"
"31406955","1/16/2016 1:40:31 PM","1/21/2016 7:16:28 AM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 104064","1404 HOOD RD, 95825","95825"
"31406956","1/16/2016 1:54:29 PM","1/17/2016 3:30:10 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of WALNUT AVE and WHITNEY AVE, 95608","95608"
"31406958","1/16/2016 1:58:28 PM","1/17/2016 12:30:02 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","4500 PARKER AVE, 95820","95820"
"31406959","1/16/2016 1:59:04 PM","1/17/2016 5:30:09 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3181 MOUNTAIN VIEW AVE, 95821","95821"
"31406965","1/16/2016 2:29:05 PM","1/16/2016 11:30:07 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","8229 UNION CREEK WAY, 95828","95828"
"31406971","1/16/2016 2:59:31 PM","1/27/2016 8:21:53 AM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","9005 RIVER RD, 95832","95832"
"31406974","1/16/2016 3:09:43 PM","1/16/2016 4:30:03 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of WHITEWILLOW DR and ANDREWSARAH CT, 95828","95828"
"31406976","1/16/2016 3:11:23 PM","1/22/2016 11:29:06 AM","Closed","Open311","Remote Device","Code violation","Zoning violations - 104070","3501 EL CAMINO AVE, 95821","95821"
"31406977","1/16/2016 3:11:24 PM","1/21/2016 7:17:32 AM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 104071","2000 MARCONI AVE, 95821","95821"
"31406978","1/16/2016 3:18:58 PM","1/17/2016 2:16:22 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","INTERSECTION of FLORIN RD and EXCELSIOR RD, 95829","95829"
"31406979","1/16/2016 3:19:05 PM","1/17/2016 5:30:17 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of ARDENRIDGE DR and HAMPTON RD, 95864","95864"
"31406980","1/16/2016 3:27:14 PM","1/27/2016 8:33:46 AM","Closed","311 Service Request","Transportation","Ditches/Culverts","Ditches/Culverts","2430 I ST, 95673","95673"
"31406981","1/16/2016 3:30:38 PM","1/18/2016 8:09:35 AM","Closed","Open311","Remote Device","Shopping cart","Shopping carts - 104072","8255 BENJAMIN DR, 95843","95843"
"31406982","1/16/2016 3:41:20 PM","1/18/2016 8:10:18 AM","Closed","Open311","Remote Device","Shopping cart","Shopping carts - 104078","3921 GREY LIVERY WAY, 95843","95843"
"31406984","1/16/2016 3:52:04 PM","2/5/2016 4:30:02 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","INTERSECTION of FLORIN RD and EXCELSIOR RD, 95829","95829"
"31406985","1/16/2016 3:52:40 PM","1/17/2016 2:09:57 PM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","INTERSECTION of EL CAMINO AVE and YORKTOWN AVE, 95821","95821"
"31406986","1/16/2016 4:01:28 PM","2/8/2016 1:29:58 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of EL CAMINO AVE and YORKTOWN AVE, 95821","95821"
"31406987","1/16/2016 4:01:58 PM","1/18/2016 10:30:12 AM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","INTERSECTION of FLORIN RD and EXCELSIOR RD, 95829","95829"
"31406989","1/16/2016 4:09:08 PM","1/19/2016 11:30:17 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","8436 THORNBURY DR, 95843","95843"
"31406990","1/16/2016 4:09:23 PM","1/17/2016 2:29:33 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","3410 ARDEN CREEK RD, 95825","95825"
"31406993","1/16/2016 4:20:44 PM","1/22/2016 11:39:05 AM","Closed","Open311","Remote Device","Other","Other - 104087","8695 GREENBACK LN, 95662","95662"
"31406994","1/16/2016 4:23:49 PM","1/18/2016 10:23:35 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","INTERSECTION of NEW EUREKA WAY and GOLD STATION DR, 95670","95670"
"31406996","1/16/2016 4:39:57 PM","1/21/2016 7:49:18 AM","Closed","311 Service Request","Building Permits and Inspection","Fencing","Fencing","8494 CASLAN AVE, 95628","95628"
"31406998","1/16/2016 4:45:31 PM","1/17/2016 1:30:07 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","9214 HILARI WAY, 95662","95662"
"31407001","1/16/2016 4:51:10 PM","1/16/2016 9:30:04 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","7142 DRY CREEK RD, 95673","95673"
"31407002","1/16/2016 4:58:06 PM","2/8/2016 1:30:57 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of COTTONWOOD LN and MIDDLESAX WAY, 95828","95828"
"31407004","1/16/2016 5:04:01 PM","1/17/2016 9:30:02 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","740 OAK LN, 95673","95673"
"31407008","1/16/2016 5:12:09 PM","2/8/2016 1:31:29 PM","Closed","311 Service Request","Transportation","Pavement","Pavement","INTERSECTION of CYPRESS AVE and MANZANITA AVE, 95608","95608"
"31407009","1/16/2016 5:24:53 PM","1/17/2016 1:30:22 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","6000 ORANGE AVE, 95823","95823"
"31407010","1/16/2016 5:27:33 PM","2/22/2016 2:22:57 PM","Closed","311 Service Request","Transportation","Pavement","Pavement","INTERSECTION of WATT AVE and ROSEVILLE RD, 95652","95652"
"31407011","1/16/2016 5:32:09 PM","1/19/2016 1:12:04 PM","Closed","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","6341 BELVA WAY, 95660","95660"
"31407012","1/16/2016 5:36:04 PM","1/17/2016 12:30:07 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of COLOMA RD and CLIPPER GAP DR, 95670","95670"
"31407013","1/16/2016 5:37:05 PM","1/17/2016 1:30:13 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of ALTA ARDEN EXPY and WATT AVE, 95864","95864"
"31407014","1/16/2016 5:40:44 PM","2/7/2016 12:40:56 PM","Closed","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","6532 MELROSE DR, 95660","95660"
"31407016","1/16/2016 5:43:12 PM","1/17/2016 9:30:11 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","6216 MORAZAN ST, 95660","95660"
"31407017","1/16/2016 5:48:13 PM","1/20/2016 2:02:16 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","8011 BUGATTI CT, 95828","95828"
"31407019","1/16/2016 6:25:23 PM","2/8/2016 1:33:24 PM","Closed","311 Service Request","Transportation","Traffic Sign Complaints","Traffic Sign Complaints","INTERSECTION of DILLARD RD and JACKSON RD, 95683","95683"
"31407021","1/16/2016 6:34:57 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","4021 NEW YORK AVE, 95628","95628"
"31407023","1/16/2016 6:42:26 PM","1/17/2016 2:30:04 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","4133 CUNY AVE, 95823","95823"
"31407024","1/16/2016 6:49:59 PM","1/18/2016 4:56:43 PM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","8559 CORD WAY, 95828","95828"
"31407028","1/16/2016 8:02:26 PM","1/17/2016 2:30:14 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3900 CUNY AVE,Unit 1, 95823","95823"
"31407029","1/16/2016 8:11:11 PM","1/17/2016 1:30:10 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of STOCKTON BLVD and MASSIE CIR, 95823","95823"
"31407033","1/16/2016 9:09:04 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","6077 OGDEN NASH WAY, 95842","95842"
"31407035","1/16/2016 9:24:43 PM","1/25/2016 4:31:44 PM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","6337 VISTA AVE, 95824","95824"
"31407038","1/16/2016 9:40:09 PM","1/26/2016 12:30:12 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","7626 BOGEY CT, 95828","95828"
"31407039","1/16/2016 10:10:10 PM","1/19/2016 11:53:48 AM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of MADISON AVE and FAIR OAKS BLVD, 95628","95628"
"31407041","1/16/2016 10:16:06 PM","1/18/2016 2:12:54 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","INTERSECTION of FAIR OAKS BLVD and MADISON AVE, 95628","95628"
"31407043","1/16/2016 11:24:17 PM","1/19/2016 9:30:08 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","4233 WALNUT AVE, 95608","95608"
"31407044","1/17/2016 12:20:27 AM","1/17/2016 3:30:12 AM","Closed","311 Service Request","Animal Care","Animal Care - Assist","Animal Care - Assist","3500 MULHOLLAND WAY, 95821","95821"
"31407045","1/17/2016 12:28:40 AM","1/20/2016 2:04:04 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","7930 ORCHARD WOODS CIR, 95828","95828"
"31407053","1/17/2016 6:22:25 AM","2/3/2016 7:25:54 AM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","INTERSECTION of PALM AVE and HAMILTON ST, 95842","95842"
"31407055","1/17/2016 7:21:47 AM","1/18/2016 10:48:48 AM","Closed","311 Service Request","Environmental - Compliance","Hazardous Conditions","Hazardous Conditions","2000 EDWIN WAY, 95825","95825"
"31407056","1/17/2016 7:24:10 AM","2/8/2016 1:35:07 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","2000 EDWIN WAY, 95825","95825"
"31407057","1/17/2016 7:31:07 AM","1/21/2016 7:15:11 AM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","INTERSECTION of HOWE AVE and HURLEY WAY, 95825","95825"
"31407058","1/17/2016 7:49:24 AM","1/17/2016 1:30:22 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of COTTAGE WAY and HOWE AVE, 95825","95825"
"31407060","1/17/2016 8:24:25 AM","1/17/2016 1:30:11 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of DEL PASO RD and POWER LINE RD, 95837","95837"
"31407061","1/17/2016 8:40:16 AM","1/18/2016 1:56:46 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","INTERSECTION of SUNSET AVE and MAIN AVE, 95628","95628"
"31407062","1/17/2016 8:45:02 AM","1/17/2016 1:30:13 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3800 BRANCH CENTER RD, 95827","95827"
"31407064","1/17/2016 8:56:54 AM","1/17/2016 1:30:07 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","3730 WINDING CREEK RD, 95864","95864"
"31407067","1/17/2016 12:40:53 PM","1/18/2016 8:10:58 AM","Closed","Open311","Remote Device","Shopping cart","Shopping carts - 104178","400 ELKHORN BLVD, 95673","95673"
"31407068","1/17/2016 12:40:55 PM","1/20/2016 5:45:49 AM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 104177","9025 NAPA VALLEY WAY, 95829","95829"
"31407069","1/17/2016 12:44:28 PM","1/18/2016 1:53:31 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","1055 E ST, 95673","95673"
"31407070","1/17/2016 12:49:22 PM","2/8/2016 1:39:34 PM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","4165 BIRDWELL WAY, 95660","95660"
"31407071","1/17/2016 12:51:15 PM","1/25/2016 11:27:21 AM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","5532 MISSIE WAY, 95841","95841"
"31407072","1/17/2016 12:54:17 PM","2/8/2016 1:41:49 PM","Closed","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","6734 LEATHERWOOD WAY, 95842","95842"
"31407073","1/17/2016 12:54:37 PM","2/8/2016 1:42:33 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","4408 FENWICK WAY, 95660","95660"
"31407075","1/17/2016 1:07:30 PM","1/20/2016 2:01:07 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","4015 44TH ST, 95820","95820"
"31407076","1/17/2016 1:15:45 PM","1/20/2016 2:03:05 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","7901 SUNRISE GREENS DR, 95828","95828"
"31407077","1/17/2016 1:15:50 PM","2/8/2016 1:43:07 PM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","4700 HAYFORD WAY, 95842","95842"
"31407078","1/17/2016 1:17:47 PM","1/19/2016 8:23:48 AM","Closed","311 Service Request","Water Resources","Incoming Email","","8150 FILLIES CT, 95829","95829"
"31407079","1/17/2016 1:22:53 PM","2/5/2016 4:30:07 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","917 SINGINGWOOD RD, 95864","95864"
"31407080","1/17/2016 1:24:09 PM","1/17/2016 2:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","5004 FLIGHT DECK CT, 95628","95628"
"31407082","1/17/2016 1:30:55 PM","2/9/2016 12:20:01 AM","Closed","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","7762 DERSINGHAM DR, 95829","95829"
"31407084","1/17/2016 1:51:21 PM","2/8/2016 1:43:35 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104185","5041 CUMBRAE ISLE WAY, 95843","95843"
"31407085","1/17/2016 1:51:22 PM","2/22/2016 2:24:25 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104187","4829 CLYDEBANK WAY, 95843","95843"
"31407086","1/17/2016 2:00:34 PM","1/21/2016 9:01:52 AM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104188","4445 SHANDWICK DR, 95843","95843"
"31407087","1/17/2016 2:00:35 PM","2/22/2016 2:24:47 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104189","4445 SHANDWICK DR, 95843","95843"
"31407090","1/17/2016 2:10:36 PM","1/22/2016 11:36:05 AM","Closed","Open311","Remote Device","Code violation","Zoning violations - 104194","5951 39TH ST, 95824","95824"
"31407091","1/17/2016 2:10:36 PM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 104191","5952 MENDOCINO BLVD, 95824","95824"
"31407092","1/17/2016 2:14:51 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","6710 FRONT ST, 95673","95673"
"31407094","1/17/2016 2:30:34 PM","1/21/2016 9:02:10 AM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104197","7226 EMINENT CT, 95842","95842"
"31407095","1/17/2016 2:30:35 PM","2/22/2016 2:25:09 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104198","7314 HIGH POINT LN, 95842","95842"
"31407096","1/17/2016 2:30:36 PM","2/22/2016 2:25:33 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104196","8000 PALMERSON DR, 95843","95843"
"31407097","1/17/2016 2:30:36 PM","1/22/2016 11:36:31 AM","Closed","Open311","Remote Device","Code violation","Zoning violations - 104195","3700 GIBBONS PARK WAY, 95608","95608"
"31407099","1/17/2016 2:40:34 PM","1/18/2016 2:10:47 PM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 104200","6274 HEATHCLIFF DR, 95608","95608"
"31407100","1/17/2016 2:40:34 PM","2/22/2016 2:25:52 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104199","4913 ADORN CT, 95842","95842"
"31407102","1/17/2016 3:00:57 PM","2/22/2016 2:26:18 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104201","5023 STRASBOURG WAY, 95842","95842"
"31407104","1/17/2016 3:12:22 PM","1/19/2016 11:30:10 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","9025 MARINA SOLEIL CT, 95829","95829"
"31407105","1/17/2016 3:21:19 PM","1/18/2016 1:54:50 PM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 104204","7348 RUTHERFORD WAY, 95660","95660"
"31407106","1/17/2016 3:21:22 PM","1/18/2016 8:43:21 AM","Closed","Open311","Remote Device","Other","Other - 104203","6274 HEATHCLIFF DR, 95608","95608"
"31407107","1/17/2016 3:22:00 PM","1/19/2016 11:30:08 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","4329 WINJE DR, 95843","95843"
"31407110","1/17/2016 3:27:13 PM","1/20/2016 1:30:08 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","6830 KENNETH AVE, 95662","95662"
"31407111","1/17/2016 3:30:38 PM","2/22/2016 2:26:40 PM","Closed","Open311","Remote Device","Street lighting","Street lighting - 104205","5608 VALL CT, 95608","95608"
"31407112","1/17/2016 3:35:29 PM","1/20/2016 2:04:31 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","8158 MONTREUX WAY, 95828","95828"
"31407113","1/17/2016 3:38:46 PM","1/20/2016 2:06:26 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","8696 DAIMLER WAY, 95828","95828"
"31407114","1/17/2016 3:40:41 PM","1/20/2016 2:02:34 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","8258 WESTPORT CIR, 95828","95828"
"31407119","1/17/2016 3:56:12 PM","1/21/2016 2:16:12 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","9368 MIRA DEL RIO DR, 95827","95827"
"31407122","1/17/2016 4:05:56 PM","2/9/2016 5:47:39 PM","Closed","311 Service Request","Environmental - Health","Food Facility Complaints","Food Facility Complaints","4710 AUBURN BLVD, 95841","95841"
"31407131","1/17/2016 5:30:03 PM","1/29/2016 12:45:35 PM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","6535 CHANNING DR, 95660","95660"
"31407132","1/17/2016 5:36:55 PM","1/18/2016 10:18:57 AM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","INTERSECTION of ANTELOPE RD and COMMONWEALTH DR, 95843","95843"
"31407133","1/17/2016 5:37:30 PM","1/17/2016 7:30:07 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","6544 MARYSVILLE BLVD, 95673","95673"
"31407135","1/17/2016 5:49:16 PM","2/22/2016 2:27:03 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of ANTELOPE RD and COMMONWEALTH DR, 95843","95843"
"31407136","1/17/2016 5:49:31 PM","2/22/2016 2:27:29 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","6548 LA CIENEGA DR, 95660","95660"
"31407139","1/17/2016 5:59:49 PM","2/22/2016 2:27:56 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of BRADSHAW RD and GOETHE RD, 95827","95827"
"31407148","1/17/2016 6:20:40 PM","2/22/2016 2:29:14 PM","Closed","Open311","Remote Device","Pothole","Pothole - 104218","5421 HILLSDALE BLVD, 95842","95842"
"31407149","1/17/2016 6:21:59 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","9228 CARLA WAY, 95826","95826"
"31407151","1/17/2016 6:29:51 PM","1/26/2016 4:24:36 PM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","9001 CALDERA WAY, 95826","95826"
"31407152","1/17/2016 6:31:20 PM","1/18/2016 8:33:49 AM","Closed","Open311","Remote Device","Other","Other - 104220","4128 CABINET CIR, 95660","95660"
"31407153","1/17/2016 6:36:03 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","8933 NEW DAWN DR, 95826","95826"
"31407156","1/17/2016 6:47:07 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","9041 SUTTERS GOLD DR, 95826","95826"
"31407157","1/17/2016 6:51:19 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","9277 CALDERA WAY, 95826","95826"
"31407159","1/17/2016 6:53:53 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","3039 HEIRLOOM WAY, 95826","95826"
"31407160","1/17/2016 6:57:03 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","3039 HEIRLOOM WAY, 95826","95826"
"31407161","1/17/2016 6:59:26 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","3183 ROSEMONT DR, 95826","95826"
"31407162","1/17/2016 7:06:19 PM","1/19/2016 11:17:18 AM","Closed","311 Service Request","Water Resources","Stormwater Incoming Email","Stormwater Incoming Email","5601 VALL CT, 95608","95608"
"31407163","1/17/2016 7:16:24 PM","1/19/2016 11:26:28 AM","Closed","311 Service Request","Water Resources","Stormwater Incoming Email","Stormwater Incoming Email","9655 OLD PLACERVILLE RD, 95827","95827"
"31407166","1/17/2016 7:20:43 PM","2/22/2016 2:29:36 PM","Closed","Open311","Remote Device","Other","Other - 104142","13690 SARGENT AVE, 95632","95632"
"31407167","1/17/2016 7:20:44 PM","2/22/2016 2:29:57 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104150","8001 GREENBACK LN,CITRUS HEIGHTS,CA 95610","95610"
"31407168","1/17/2016 7:20:44 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 104147","4620 PRETENTIOUS WAY, 95842","95842"
"31407169","1/17/2016 7:20:45 PM","2/17/2016 8:16:28 AM","Closed","Open311","Remote Device","Graffiti","Graffiti - 104149","8029 GREENBACK LN,CITRUS HEIGHTS,CA 95610","95610"
"31407176","1/17/2016 7:50:27 PM","1/18/2016 12:30:06 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3839 BRADSHAW RD, 95827","95827"
